#
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
220.00000000000	-0.42187809944153	-0.86208617687225
220.11000061035	-0.52877056598663	-0.80156165361404
220.22000122070	-0.62719631195068	-0.72784602642059
220.33000183105	-0.71553319692612	-0.64208966493607
220.44000244141	-0.79230892658234	-0.54564350843430
220.55000305176	-0.85622650384903	-0.44003948569298
220.66000366211	-0.90618687868118	-0.32697042822838
220.77000427246	-0.94131046533585	-0.20826400816441
220.88000488281	-0.96095436811447	-0.085855931043625
220.99000549316	-0.96472775936127	0.038241676986217
221.10000610352	-0.95250111818314	0.16197101771832
221.21000671387	-0.92441368103027	0.28326553106308
221.32000732422	-0.88087403774261	0.40008339285851
221.42999267578	-0.82255750894547	0.51044535636902
221.53999328613	-0.75039684772491	0.61246973276138
221.64999389648	-0.66556894779205	0.70440745353699
221.75999450684	-0.56947499513626	0.78467464447021
221.86999511719	-0.46371915936470	0.85188299417496
221.97999572754	-0.35007777810097	0.90486633777618
222.08999633789	-0.23047035932541	0.94270282983780
222.19999694824	-0.10692413896322	0.96473270654678
222.30999755859	0.018463177606463	0.97057121992111
222.41999816895	0.14356109499931	0.96011507511139
222.52999877930	0.26624566316605	0.93354457616806
222.63999938965	0.38443726301193	0.89131885766983
222.75000000000	0.49613854289055	0.83416706323624
222.86000061035	0.59946888685226	0.76307326555252
222.97000122070	0.69269829988480	0.67925757169724
223.08000183105	0.77427512407303	0.58415222167969
223.19000244141	0.84285247325897	0.47937536239624
223.30000305176	0.89730906486511	0.36670088768005
223.41000366211	0.93676620721817	0.24802684783936
223.52000427246	0.96059978008270	0.12534207105637
223.63000488281	0.96844780445099	0.00069204869214445
223.74000549316	0.96021378040314	-0.12385514378548
223.85000610352	0.93606537580490	-0.24624264240265
223.96000671387	0.89642930030823	-0.36445772647858
224.07000732422	0.84198170900345	-0.47656312584877
224.17999267578	0.77363604307175	-0.58072692155838
224.28999328613	0.69252663850784	-0.67525029182434
224.39999389648	0.59999054670334	-0.75859272480011
224.50999450684	0.49754610657692	-0.82939463853836
224.61999511719	0.38686758279800	-0.88649886846542
224.72999572754	0.26976308226585	-0.92896622419357
224.83999633789	0.14814421534538	-0.95609116554260
224.94999694824	0.023996755480766	-0.96741282939911
225.05999755859	-0.10064573585987	-0.96272277832031
225.16999816895	-0.22373779118061	-0.94206953048706
225.27999877930	-0.34325051307678	-0.90575975179672
225.38999938965	-0.45720326900482	-0.85435599088669
225.50000000000	-0.56369799375534	-0.78866881132126
225.61000061035	-0.66094839572906	-0.70974761247635
225.72000122070	-0.74730980396271	-0.61886590719223
225.83000183105	-0.82130903005600	-0.51750290393829
225.94000244141	-0.88167029619217	-0.40732121467590
226.05000305176	-0.92733818292618	-0.29014196991920
226.16000366211	-0.95749926567078	-0.16791468858719
226.27000427246	-0.97159790992737	-0.042686704546213
226.38000488281	-0.96934950351715	0.083432935178280
226.49000549316	-0.95074754953384	0.20830783247948
226.60000610352	-0.91606664657593	0.32981199026108
226.71000671387	-0.86586046218872	0.44586911797523
226.82000732422	-0.80095350742340	0.55448824167252
226.92999267578	-0.72242915630341	0.65380007028580
227.03999328613	-0.63160973787308	0.74209272861481
227.14999389648	-0.53003615140915	0.81784212589264
227.25999450684	-0.41943871974945	0.87974035739899
227.36999511719	-0.30170655250549	0.92671972513199
227.47999572754	-0.17885477840900	0.95797240734100
227.58999633789	-0.052987881004810	0.97296458482742
227.69999694824	0.073740698397160	0.97144585847855
227.80999755859	0.19916357100010	0.95345294475555
227.91999816895	0.32114100456238	0.91930758953094
228.02999877930	0.43759718537331	0.86960965394974
228.13999938965	0.54655700922012	0.80522543191910
228.25000000000	0.64617973566055	0.72727030515671
228.36000061035	0.73479050397873	0.63708764314651
228.47000122070	0.81090706586838	0.53622424602509
228.58000183105	0.87326461076736	0.42640241980553
228.69000244141	0.92083483934402	0.30948927998543
228.80000305176	0.95284134149551	0.18746387958527
228.91000366211	0.96877044439316	0.062385864555836
229.02000427246	0.96837902069092	-0.063643537461758
229.13000488281	0.95169460773468	-0.18851184844971
229.24000549316	0.91901487112045	-0.31013166904449
229.35000610352	0.87090045213699	-0.42647391557693
229.46000671387	0.80816560983658	-0.53560000658035
229.57000732422	0.73186355829239	-0.63569211959839
229.67999267578	0.64326918125153	-0.72508245706558
229.78999328613	0.54385977983475	-0.80227875709534
229.89999389648	0.43528950214386	-0.86598855257034
230.00999450684	0.31936594843864	-0.91513937711716
230.11999511719	0.19801914691925	-0.94889652729034
230.22999572754	0.073272556066513	-0.96667718887329
230.33999633789	-0.052787628024817	-0.96816098690033
230.44999694824	-0.17804880440235	-0.95329630374908
230.55999755859	-0.30040347576141	-0.92230314016342
230.66999816895	-0.41778466105461	-0.87567120790482
230.77999877930	-0.52820068597794	-0.81415408849716
230.88999938965	-0.62976729869843	-0.73875892162323
231.00000000000	-0.72074145078659	-0.65073192119598
231.11000061035	-0.79955273866653	-0.55153882503510
231.22000122070	-0.86482924222946	-0.44284275174141
231.33000183105	-0.91542476415634	-0.32647675275803
231.44000244141	-0.95043951272964	-0.20441372692585
231.55000305176	-0.96923917531967	-0.078733555972576
231.66000366211	-0.97146618366241	0.048412784934044
231.77000427246	-0.95705008506775	0.17484110593796
231.88000488281	-0.92620879411697	0.29837161302567
231.99000549316	-0.87944781780243	0.41686794161797
232.10000610352	-0.81755197048187	0.52827626466751
232.21000671387	-0.74157309532166	0.63066184520721
232.32000732422	-0.65281105041504	0.72224432229996
232.42999267578	-0.55279237031937	0.80142980813980
232.53999328613	-0.44324201345444	0.86684054136276
232.64999389648	-0.32605320215225	0.91733914613724
232.75999450684	-0.20325322449207	0.95204919576645
232.86999511719	-0.076967068016529	0.97037088871002
232.97999572754	0.050620961934328	0.97199124097824
233.08999633789	0.17730504274368	0.95688879489899
233.19999694824	0.30089932680130	0.92533326148987
233.30999755859	0.41927444934845	0.87787955999374
233.41999816895	0.53039395809174	0.81535762548447
233.52999877930	0.63235312700272	0.73885494470596
233.63999938965	0.72340708971024	0.64969885349274
233.75000000000	0.80200260877609	0.54943072795868
233.86000061035	0.86680322885513	0.43977922201157
233.97000122070	0.91671073436737	0.32262960076332
234.08000183105	0.95088273286819	0.19999137520790
234.19000244141	0.96874588727951	0.073963716626167
234.30000305176	0.97000432014465	-0.053300015628338
234.41000366211	0.95464348793030	-0.17962834239006
234.52000427246	0.92292958498001	-0.30286774039268
234.63000488281	0.87540459632874	-0.42091834545135
234.74000549316	0.81287670135498	-0.53176832199097
234.85000610352	0.73640680313110	-0.63352704048157
234.96000671387	0.64729148149490	-0.72445607185364
235.07000732422	0.54704111814499	-0.80299806594849
235.17999267578	0.43735611438751	-0.86780244112015
235.28999328613	0.32009822130203	-0.91774821281433
235.39999389648	0.19726148247719	-0.95196366310120
235.50999450684	0.070939376950264	-0.96984064579010
235.61999511719	-0.056710544973612	-0.97104752063751
235.72999572754	-0.18350076675415	-0.95553469657898
235.83999633789	-0.30725246667862	-0.92353779077530
235.94999694824	-0.42583036422729	-0.87557542324066
236.05999755859	-0.53718078136444	-0.81244176626205
236.16999816895	-0.63936686515808	-0.73519498109818
236.27999877930	-0.73060220479965	-0.64514154195786
236.38999938965	-0.80928343534470	-0.54381388425827
236.50000000000	-0.87401962280273	-0.43294647336006
236.61000061035	-0.92365711927414	-0.31444606184959
236.72000122070	-0.95730233192444	-0.19035993516445
236.83000183105	-0.97433829307556	-0.062839508056641
236.94000244141	-0.97443789243698	0.065895371139050
237.05000305176	-0.95757073163986	0.19359859824181
237.16000366211	-0.92400527000427	0.31803473830223
237.27000427246	-0.87430530786514	0.43702146410942
237.38000488281	-0.80932146310806	0.54846686124802
237.49000549316	-0.73017472028732	0.65041005611420
237.60000610352	-0.63823956251144	0.74105441570282
237.71000671387	-0.53511834144592	0.81880068778992
237.82000732422	-0.42261207103729	0.88227730989456
237.92999267578	-0.30268976092339	0.93036347627640
238.03999328613	-0.17745098471642	0.96221065521240
238.14999389648	-0.049090269953012	0.97725677490234
238.25999450684	0.080143891274929	0.97523647546768
238.36999511719	0.20798777043819	0.95618462562561
238.47999572754	0.33220440149307	0.92043614387512
238.58999633789	0.45062151551247	0.86861884593964
238.69999694824	0.56117069721222	0.80164140462875
238.80999755859	0.66192317008972	0.72067719697952
238.91999816895	0.75112295150757	0.62714242935181
239.02999877930	0.82721728086472	0.52267134189606
239.13999938965	0.88888299465179	0.40908670425415
239.25000000000	0.93504887819290	0.28836813569069
239.36000061035	0.96491295099258	0.16261741518974
239.47000122070	0.97795641422272	0.034022200852633
239.58000183105	0.97395133972168	-0.095181629061699
239.69000244141	0.95296478271484	-0.22274819016457
239.80000305176	0.91535681486130	-0.34645983576775
239.91000366211	0.86177444458008	-0.46416506171227
240.02000427246	0.79314059019089	-0.57381480932236
240.13000488281	0.71063846349716	-0.67349749803543
240.24000549316	0.61569243669510	-0.76147156953812
240.35000610352	0.50994288921356	-0.83619540929794
240.46000671387	0.39521971344948	-0.89635413885117
240.57000732422	0.27351197600365	-0.94088244438171
240.67999267578	0.14693343639374	-0.96898370981216
240.78999328613	0.017686856910586	-0.98014467954636
240.89999389648	-0.11197308450937	-0.97414547204971
241.00999450684	-0.23977769911289	-0.95106434822083
241.11999511719	-0.36348569393158	-0.91127830743790
241.22999572754	-0.48092004656792	-0.85545772314072
241.33999633789	-0.59000813961029	-0.78455567359924
241.44999694824	-0.68881714344025	-0.69979357719421
241.55999755859	-0.77559000253677	-0.60264033079147
241.66999816895	-0.84877741336823	-0.49478816986084
241.77999877930	-0.90706455707550	-0.37812316417694
241.88999938965	-0.94939863681793	-0.25469297170639
242.00000000000	-0.97500610351562	-0.12667086720467
242.11000061035	-0.98340952396393	0.0036828152369708
242.22000122070	-0.97443699836731	0.13406093418598
242.33000183105	-0.94822585582733	0.26215064525604
242.44000244141	-0.90522158145905	0.38567605614662
242.55000305176	-0.84617072343826	0.50243800878525
242.66000366211	-0.77210789918900	0.61035555601120
242.77000427246	-0.68433773517609	0.70750355720520
242.88000488281	-0.58441138267517	0.79214698076248
242.99000549316	-0.47409856319427	0.86277365684509
243.10000610352	-0.35535731911659	0.91812098026276
243.21000671387	-0.23029588162899	0.95719939470291
243.32000732422	-0.10113606601954	0.97930979728699
243.42999267578	0.029826791957021	0.98405635356903
243.53999328613	0.16026498377323	0.97135299444199
243.64999389648	0.28786167502403	0.94142514467239
243.75999450684	0.41035076975822	0.89480429887772
243.86999511719	0.52555853128433	0.83231931924820
243.97999572754	0.63144159317017	0.75508010387421
244.08999633789	0.72612273693085	0.66445791721344
244.19999694824	0.80792462825775	0.56206059455872
244.30999755859	0.87539869546890	0.44970327615738
244.41999816895	0.92735034227371	0.32937672734261
244.52999877930	0.96285957098007	0.20321170985699
244.63999938965	0.98129683732986	0.073441363871098
244.75000000000	0.98233354091644	-0.057637754827738
244.86000061035	0.96594792604446	-0.18770599365234
244.97000122070	0.93242490291595	-0.31446096301079
245.08000183105	0.88235145807266	-0.43565794825554
245.19000244141	0.81660634279251	-0.54914849996567
245.30000305176	0.73634475469589	-0.65291869640350
245.41000366211	0.64297938346863	-0.74512338638306
245.52000427246	0.53815466165543	-0.82411956787109
245.63000488281	0.42372038960457	-0.88849490880966
245.74000549316	0.30169841647148	-0.93709295988083
245.85000610352	0.17424796521664	-0.96903449296951
245.96000671387	0.043629053980112	-0.98373323678970
246.07000732422	-0.087837822735310	-0.98090749979019
246.17999267578	-0.21781235933304	-0.96058636903763
246.28999328613	-0.34397488832474	-0.92310982942581
246.39999389648	-0.46406918764114	-0.86912465095520
246.50999450684	-0.57594108581543	-0.79957360029221
246.61999511719	-0.67757946252823	-0.71567982435226
246.72999572754	-0.76714986562729	-0.61892694234848
246.83999633789	-0.84303152561188	-0.51103246212006
246.94999694824	-0.90384560823441	-0.39391776919365
247.05999755859	-0.94848114252090	-0.26967549324036
247.16999816895	-0.97611671686172	-0.14053067564964
247.27999877930	-0.98623615503311	-0.0088017340749502
247.38999938965	-0.97863912582397	0.12314207106829
247.50000000000	-0.95344543457031	0.25292336940765
247.61000061035	-0.91109412908554	0.37819939851761
247.72000122070	-0.85233551263809	0.49670693278313
247.83000183105	-0.77821940183640	0.60630196332932
247.94000244141	-0.69007486104965	0.70500034093857
248.05000305176	-0.58948737382889	0.79101347923279
248.16000366211	-0.47826862335205	0.86278301477432
248.27000427246	-0.35842505097389	0.91900748014450
248.38000488281	-0.23212003707886	0.95866781473160
248.49000549316	-0.10163509845734	0.98104482889175
248.60000610352	0.030673203989863	0.98573350906372
248.71000671387	0.16241492331028	0.97264903783798
248.82000732422	0.29121139645576	0.94202905893326
248.92999267578	0.41473773121834	0.89442801475525
249.03999328613	0.53076553344727	0.83070760965347
249.14999389648	0.63720279932022	0.75202000141144
249.25999450684	0.73213177919388	0.65978717803955
249.36999511719	0.81384325027466	0.55567449331284
249.47999572754	0.88086706399918	0.44156032800674
249.58999633789	0.93199801445007	0.31950220465660
249.69999694824	0.96631729602814	0.19169951975346
249.80999755859	0.98320806026459	0.060454048216343
249.91999816895	0.98236709833145	-0.071871258318424
250.02999877930	0.96380889415741	-0.20289446413517
250.13999938965	0.92786574363708	-0.33025708794594
250.25000000000	0.87518155574799	-0.45166602730751
250.36000061035	0.80670052766800	-0.56493431329727
250.47000122070	0.72365051507950	-0.66801989078522
250.58000183105	0.62752068042755	-0.75906205177307
250.69000244141	0.52003586292267	-0.83641463518143
250.80000305176	0.40312689542770	-0.89867550134659
250.91000366211	0.27889481186867	-0.94471180438995
251.02000427246	0.14957529306412	-0.97368067502975
251.13000488281	0.017498066648841	-0.98504483699799
251.24000549316	-0.11495275050402	-0.97858291864395
251.35000610352	-0.24538394808769	-0.95439451932907
251.46000671387	-0.37143373489380	-0.91289865970612
251.57000732422	-0.49081474542618	-0.85482805967331
251.67999267578	-0.60135644674301	-0.78121644258499
251.78999328613	-0.70104342699051	-0.69338136911392
251.89999389648	-0.78805339336395	-0.59290015697479
252.00999450684	-0.86079013347626	-0.48158434033394
252.11999511719	-0.91791456937790	-0.36144483089447
252.22999572754	-0.95836836099625	-0.23465840518475
252.33999633789	-0.98139536380768	-0.10352683067322
252.44999694824	-0.98655629158020	0.029563549906015
252.55999755859	-0.97373753786087	0.16218742728233
252.66999816895	-0.94315451383591	0.29192200303078
252.77999877930	-0.89534848928452	0.41639456152916
252.88999938965	-0.83117711544037	0.53332471847534
253.00000000000	-0.75179958343506	0.64056742191315
253.11000061035	-0.65865713357925	0.73615193367004
253.22000122070	-0.55344372987747	0.81832009553909
253.33000183105	-0.43807819485664	0.88555806875229
253.44000244141	-0.31466820836067	0.93662530183792
253.55000305176	-0.18546986579895	0.97057765722275
253.66000366211	-0.052848156541586	0.98678487539291
253.77000427246	0.080768495798111	0.98494285345078
253.88000488281	0.21293134987354	0.96507894992828
253.99000549316	0.34121832251549	0.92755204439163
254.10000610352	0.46327796578407	0.87304526567459
254.21000671387	0.57687211036682	0.80255407094955
254.32000732422	0.67991906404495	0.71736687421799
254.42999267578	0.77052909135818	0.61904203891754
254.53999328613	0.84704208374023	0.50937867164612
254.64999389648	0.90805470943451	0.39038339257240
254.75999450684	0.95244890451431	0.26423379778862
254.86999511719	0.97941017150879	0.13323810696602
254.97999572754	0.98844289779663	-0.00020680403395090
255.08999633789	0.97937935590744	-0.13365934789181
255.19999694824	0.95238214731216	-0.26467764377594
255.30999755859	0.90794205665588	-0.39086395502090
255.41999816895	0.84686809778214	-0.50990849733353
255.52999877930	0.77027320861816	-0.61963111162186
255.63999938965	0.67955398559570	-0.71802127361298
255.75000000000	0.57636588811874	-0.80327391624451
255.86000061035	0.46259197592735	-0.87382358312607
255.97000122070	0.34031060338020	-0.92837160825729
256.07998657227	0.21175709366798	-0.96591079235077
256.19000244141	0.079283259809017	-0.98574393987656
256.29998779297	-0.054685637354851	-0.98749709129333
256.41000366211	-0.18769465386868	-0.97112631797791
256.51998901367	-0.31730318069458	-0.93691933155060
256.63000488281	-0.44112962484360	-0.88549101352692
256.73999023438	-0.55689638853073	-0.81777262687683
256.85000610352	-0.66246944665909	-0.73499602079391
256.95999145508	-0.75589990615845	-0.63867086172104
257.07000732422	-0.83545923233032	-0.53055804967880
257.17999267578	-0.89967191219330	-0.41263794898987
257.29000854492	-0.94734251499176	-0.28707402944565
257.39999389648	-0.97757905721664	-0.15617457032204
257.51000976562	-0.98980981111526	-0.022348744794726
257.61999511719	-0.98379516601562	0.11193603277206
257.73001098633	-0.95963227748871	0.24420116841793
